time,svg
Palmeiras,https://s.sde.globo.com/media/organizations/2019/07/06/Palmeiras.svg
Cuiabá,https://s.sde.globo.com/media/organizations/2018/12/26/Cuiaba_EC.svg
América-MG,https://s.sde.globo.com/media/organizations/2019/02/28/America-MG-VERDE-fev2019-01.svg
Fluminense,https://s.sde.globo.com/media/organizations/2018/03/11/fluminense.svg
Botafogo,https://s.sde.globo.com/media/organizations/2019/02/04/botafogo-svg.svg
São Paulo,https://s.sde.globo.com/media/organizations/2018/03/11/sao-paulo.svg
Bragantino,https://s.sde.globo.com/media/organizations/2021/06/28/bragantino.svg
Bahia,https://s.sde.globo.com/media/organizations/2018/03/11/bahia.svg
Athletico-PR,https://s.sde.globo.com/media/organizations/2019/09/09/Athletico-PR.svg
Goiás,https://s.sde.globo.com/media/organizations/2021/03/01/GOIAS-2021.svg
Fortaleza,https://s.sde.globo.com/media/organizations/2021/09/19/Fortaleza_2021_1.svg
Internacional,https://s.sde.globo.com/media/organizations/2018/03/11/internacional.svg
Atlético-MG,https://s.sde.globo.com/media/organizations/2018/03/10/atletico-mg.svg
Vasco,https://s.sde.globo.com/media/organizations/2021/09/04/vasco_SVG.svg
Flamengo,https://s.sde.globo.com/media/organizations/2018/04/10/Flamengo-2018.svg
Coritiba,https://s.sde.globo.com/media/organizations/2018/03/11/coritiba.svg
Corinthians,https://s.sde.globo.com/media/organizations/2019/09/30/Corinthians.svg
Cruzeiro,https://s.sde.globo.com/media/organizations/2021/02/13/cruzeiro_2021.svg
Grêmio,https://s.sde.globo.com/media/organizations/2018/03/12/gremio.svg
Santos,https://s.sde.globo.com/media/organizations/2018/03/12/santos.svg